batch,wafer_id,die_x,die_y,rc_mohm
w32,w32-01,0,0,38.8
w32,w32-01,0,1,41.7
w32,w32-01,0,2,40.4
w32,w32-01,0,3,40.4
w32,w32-01,0,4,38.8
w32,w32-01,0,5,42.6
w32,w32-01,0,6,42.0
w32,w32-01,0,7,37.5
w32,w32-01,0,8,36.2
w32,w32-01,0,9,37.7
w32,w32-01,1,0,40.6
w32,w32-01,1,1,40.9
w32,w32-01,1,2,41.1
w32,w32-01,1,3,37.6
w32,w32-01,1,4,37.6
w32,w32-01,1,5,37.1
w32,w32-01,1,6,38.1
w32,w32-01,1,7,41.0
w32,w32-01,1,8,38.4
w32,w32-01,1,9,40.0
w32,w32-01,2,0,41.2
w32,w32-01,2,1,40.4
w32,w32-01,2,2,40.2
w32,w32-01,2,3,41.7
w32,w32-01,2,4,39.7
w32,w32-01,2,5,39.9
w32,w32-01,2,6,37.7
w32,w32-01,2,7,40.0
w32,w32-01,2,8,37.2
w32,w32-01,2,9,41.2
w32,w32-01,3,0,40.7
w32,w32-01,3,1,42.2
w32,w32-01,3,2,40.1
w32,w32-01,3,3,42.4
w32,w32-01,3,4,39.5
w32,w32-01,3,5,39.1
w32,w32-01,3,6,39.9
w32,w32-01,3,7,36.3
w32,w32-01,3,8,37.9
w32,w32-01,3,9,41.1
w32,w32-01,4,0,39.0
w32,w32-01,4,1,38.6
w32,w32-01,4,2,39.4
w32,w32-01,4,3,39.8
w32,w32-01,4,4,44.1
w32,w32-01,4,5,39.5
w32,w32-01,4,6,39.1
w32,w32-01,4,7,43.4
w32,w32-01,4,8,44.0
w32,w32-01,4,9,44.8
w32,w32-01,5,0,41.4
w32,w32-01,5,1,41.1
w32,w32-01,5,2,39.0
w32,w32-01,5,3,40.5
w32,w32-01,5,4,41.4
w32,w32-01,5,5,41.6
w32,w32-01,5,6,42.2
w32,w32-01,5,7,40.0
w32,w32-01,5,8,39.2
w32,w32-01,5,9,39.9
w32,w32-01,6,0,43.5
w32,w32-01,6,1,37.0
w32,w32-01,6,2,37.6
w32,w32-01,6,3,43.2
w32,w32-01,6,4,40.6
w32,w32-01,6,5,38.3
w32,w32-01,6,6,40.8
w32,w32-01,6,7,42.6
w32,w32-01,6,8,40.3
w32,w32-01,6,9,39.9
w32,w32-01,7,0,40.9
w32,w32-01,7,1,39.3
w32,w32-01,7,2,39.9
w32,w32-01,7,3,38.5
w32,w32-01,7,4,42.8
w32,w32-01,7,5,38.8
w32,w32-01,7,6,40.0
w32,w32-01,7,7,42.0
w32,w32-01,7,8,42.1
w32,w32-01,7,9,38.3
w32,w32-01,8,0,40.8
w32,w32-01,8,1,40.8
w32,w32-01,8,2,41.3
w32,w32-01,8,3,40.6
w32,w32-01,8,4,38.0
w32,w32-01,8,5,40.7
w32,w32-01,8,6,39.9
w32,w32-01,8,7,39.9
w32,w32-01,8,8,40.7
w32,w32-01,8,9,41.5
w32,w32-01,9,0,43.1
w32,w32-01,9,1,39.3
w32,w32-01,9,2,42.5
w32,w32-01,9,3,36.6
w32,w32-01,9,4,38.0
w32,w32-01,9,5,41.4
w32,w32-01,9,6,43.0
w32,w32-01,9,7,42.2
w32,w32-01,9,8,38.2
w32,w32-01,9,9,40.4
w32,w32-02,0,0,39.5
w32,w32-02,0,1,37.3
w32,w32-02,0,2,38.9
w32,w32-02,0,3,40.4
w32,w32-02,0,4,39.5
w32,w32-02,0,5,39.8
w32,w32-02,0,6,41.6
w32,w32-02,0,7,40.4
w32,w32-02,0,8,42.3
w32,w32-02,0,9,40.3
w32,w32-02,1,0,38.8
w32,w32-02,1,1,39.8
w32,w32-02,1,2,36.1
w32,w32-02,1,3,40.5
w32,w32-02,1,4,42.2
w32,w32-02,1,5,40.7
w32,w32-02,1,6,39.8
w32,w32-02,1,7,38.6
w32,w32-02,1,8,40.5
w32,w32-02,1,9,41.7
w32,w32-02,2,0,39.9
w32,w32-02,2,1,38.1
w32,w32-02,2,2,39.4
w32,w32-02,2,3,39.2
w32,w32-02,2,4,38.5
w32,w32-02,2,5,42.0
w32,w32-02,2,6,36.8
w32,w32-02,2,7,40.6
w32,w32-02,2,8,38.3
w32,w32-02,2,9,37.0
w32,w32-02,3,0,41.4
w32,w32-02,3,1,37.3
w32,w32-02,3,2,42.2
w32,w32-02,3,3,38.6
w32,w32-02,3,4,41.0
w32,w32-02,3,5,37.1
w32,w32-02,3,6,41.3
w32,w32-02,3,7,40.6
w32,w32-02,3,8,40.6
w32,w32-02,3,9,38.7
w32,w32-02,4,0,38.5
w32,w32-02,4,1,38.9
w32,w32-02,4,2,40.2
w32,w32-02,4,3,37.8
w32,w32-02,4,4,37.9
w32,w32-02,4,5,37.0
w32,w32-02,4,6,41.3
w32,w32-02,4,7,39.7
w32,w32-02,4,8,42.5
w32,w32-02,4,9,39.5
batch,wafer_id,die_x,die_y,rc_mohm
w32,w32-02,5,0,38.4
w32,w32-02,5,1,41.2
w32,w32-02,5,2,37.5
w32,w32-02,5,3,40.5
w32,w32-02,5,4,42.4
w32,w32-02,5,5,44.0
w32,w32-02,5,6,42.2
w32,w32-02,5,7,41.8
w32,w32-02,5,8,41.7
w32,w32-02,5,9,38.3
w32,w32-02,6,0,39.0
w32,w32-02,6,1,41.5
w32,w32-02,6,2,40.2
w32,w32-02,6,3,42.5
w32,w32-02,6,4,38.2
w32,w32-02,6,5,41.1
w32,w32-02,6,6,39.8
w32,w32-02,6,7,38.4
w32,w32-02,6,8,40.3
w32,w32-02,6,9,39.5
w32,w32-02,7,0,40.6
w32,w32-02,7,1,39.1
w32,w32-02,7,2,40.2
w32,w32-02,7,3,38.6
w32,w32-02,7,4,43.3
w32,w32-02,7,5,47.1
w32,w32-02,7,6,44.8
w32,w32-02,7,7,38.1
w32,w32-02,7,8,41.1
w32,w32-02,7,9,40.3
w32,w32-02,8,0,40.4
w32,w32-02,8,1,38.9
w32,w32-02,8,2,41.5
w32,w32-02,8,3,39.0
w32,w32-02,8,4,40.9
w32,w32-02,8,5,41.9
w32,w32-02,8,6,40.3
w32,w32-02,8,7,40.6
w32,w32-02,8,8,41.4
w32,w32-02,8,9,41.2
w32,w32-02,9,0,39.9
w32,w32-02,9,1,35.8
w32,w32-02,9,2,43.1
w32,w32-02,9,3,39.9
w32,w32-02,9,4,43.9
w32,w32-02,9,5,39.4
w32,w32-02,9,6,41.6
w32,w32-02,9,7,39.5
w32,w32-02,9,8,38.2
w32,w32-02,9,9,40.1
w32,w32-03,0,0,42.3
w32,w32-03,0,1,38.9
w32,w32-03,0,2,40.0
w32,w32-03,0,3,39.9
w32,w32-03,0,4,39.3
w32,w32-03,0,5,44.9
w32,w32-03,0,6,43.7
w32,w32-03,0,7,39.7
w32,w32-03,0,8,41.9
w32,w32-03,0,9,40.2
w32,w32-03,1,0,40.5
w32,w32-03,1,1,40.9
